,ordernumber,orderdate,customer names,product name,channel,order quantity,unit price,line total,total unit cost,state_code,county,state,region,latitude,longitude,2017 budgets
47653,SO - 0008356,2017-02-02,Rochester Group,Product 16,Distributor,12,3845.8,46149.600000000006,1615.236,CA,Los Angeles County,California,West,33.83141,-118.28202,2062061.144
47654,SO - 0009915,2017-02-02,Aveda Group,Product 13,Wholesale,8,1098.8,8790.4,582.364,NV,Clark County,Nevada,West,36.09719,-115.14666,3720639.645
47655,SO - 0002752,2017-02-02,CLINIQUE Ltd,Product 16,Wholesale,8,1025.1000000000001,8200.800000000001,481.797,CA,Los Angeles County,California,West,33.96085,-118.04173,2062061.144
47656,SO - 0002781,2017-02-02,Z.H.T. Group,Product 6,Distributor,5,1125.6000000000001,5628.000000000001,765.4080000000001,AR,Washington County/Benton County,Arkansas,South,36.19007,-94.15943,1672229.416
47657,SO - 0003791,2017-02-02,Livepath Corp,Product 16,Wholesale,8,730.3000000000001,5842.400000000001,365.15000000000003,OR,Clackamas County/Multnomah County/Washington County,Oregon,West,45.53695,-122.64997,2062061.144
47658,SO - 0004319,2017-02-02,Gigabox Group,Product 14,Wholesale,9,1085.4,9768.6,520.9920000000001,PA,Lancaster County,Pennsylvania,Northeast,40.03788,-76.30551,4028698.4090000005
47659,SO - 0005112,2017-02-02,Skidoo Company,Product 14,Wholesale,5,1681.7,8408.5,739.948,WI,Racine County,Wisconsin,Midwest,42.72613,-87.78285,4028698.4090000005
47660,SO - 0005154,2017-02-02,Rochester Group,Product 21,Export,8,857.6,6860.8,660.3520000000001,MI,Wayne County,Michigan,Midwest,42.33143,-83.04575,959899.2180000001
47661,SO - 0008103,2017-02-02,Centizu Company,Product 1,Wholesale,10,1045.2,10452.0,480.79200000000003,IL,Cook County,Illinois,Midwest,41.51529,-87.73338,3016489.209
47662,SO - 0008286,2017-02-02,American Corp,Product 25,Wholesale,5,1782.2,8911.0,1354.472,CA,Orange County,California,West,33.66946,-117.82311,5342315.484
47663,SO - 000797,2017-02-02,Rooxo Company,Product 4,Wholesale,5,2231.1,11155.5,1874.1239999999998,SC,Greenville County,South Carolina,South,34.85262,-82.39401,2885560.824
47664,SO - 0002211,2017-02-02,Terumo Corp,Product 11,Wholesale,9,2010.0,18090.0,1386.8999999999999,CA,Yolo County,California,West,38.58046,-121.53023,1230458.484
47665,SO - 0005664,2017-02-02,Blogtags Ltd,Product 5,Distributor,8,5125.5,41004.0,2408.9849999999997,FL,Miami-Dade County,Florida,South,25.77288,-80.34783,3925424.5420000004
47666,SO - 0007809,2017-02-02,Skidoo Company,Product 25,Distributor,7,5373.400000000001,37613.8,3062.838,MN,Hennepin County,Minnesota,Midwest,45.09413,-93.35634,5342315.484
47667,SO - 0010150,2017-02-02,Kaymbo Company,Product 3,Export,11,1098.8,12086.8,813.112,IL,Cook County,Illinois,Midwest,42.0299,-87.97733,2642352.432
47668,SO - 0008099,2017-02-02,True Ltd,Product 4,Distributor,7,3825.7000000000003,26779.9,1874.593,IL,Cook County,Illinois,Midwest,41.71087,-87.75811,2885560.824
47669,SO - 000756,2017-02-02,Wordware Company,Product 26,Wholesale,12,3108.8,37305.600000000006,1896.3680000000002,CA,San Bernardino County,California,West,34.01223,-117.68894,5685138.2700000005
47670,SO - 0002092,2017-02-02,Skidoo Company,Product 20,Distributor,10,991.6,9916.0,743.7,FL,Pinellas County,Florida,South,27.90947,-82.78732,2067108.1199999999
47671,SO - 0003083,2017-02-02,Gigabox Group,Product 27,Wholesale,10,1862.6000000000001,18626.0,1303.82,NC,Edgecombe County/Nash County,North Carolina,South,35.96851,-77.80829,964940.2310000001
47672,SO - 0003447,2017-02-02,Realbuzz Ltd,Product 1,Wholesale,5,247.9,1239.5,131.387,VA,Fairfax County,Virginia,South,38.96872,-77.3411,3016489.209
47673,SO - 0005518,2017-02-02,Valeant Corp,Product 30,Distributor,8,2740.3,21922.4,2137.434,VA,Arlington County,Virginia,South,38.890390000000004,-77.08414,1011609.684
47674,SO - 0006140,2017-02-02,State Ltd,Product 14,Wholesale,8,2237.8,17902.4,1253.1680000000001,MN,Dakota County,Minnesota,Midwest,44.76774,-93.27772,4028698.4090000005
47675,SO - 0006504,2017-02-02,NARS Group,Product 12,Wholesale,9,2807.3,25265.7,2049.329,CA,Kings County,California,West,36.32745,-119.64568,1356976.996
47676,SO - 0008262,2017-02-02,Shuffledri Group,Product 26,Distributor,5,227.8,1139.0,161.738,PA,Allegheny County,Pennsylvania,Northeast,40.44062,-79.99589,5685138.2700000005
47677,SO - 0003162,2017-02-03,Podcat Corp,Product 26,Wholesale,11,1909.5,21004.5,1451.22,CA,Sacramento County,California,West,38.61713,-121.32828,5685138.2700000005
47678,SO - 0003392,2017-02-03,Cadila Ltd,Product 26,Wholesale,12,3859.2000000000003,46310.4,1698.0480000000002,FL,Miami-Dade County,Florida,South,25.8576,-80.27811,5685138.2700000005
47679,SO - 0007521,2017-02-03,Aimbo Corp,Product 3,Distributor,7,2351.7000000000003,16461.9,1787.2920000000001,CT,Hartford County,Connecticut,Northeast,41.67655,-72.78616,2642352.432
47680,SO - 0001050,2017-02-03,GOOD Ltd,Product 26,Export,10,3892.7000000000003,38927.0,2179.9120000000003,WA,King County,Washington,West,47.32232,-122.31262,5685138.2700000005
47681,SO - 0002863,2017-02-03,Chatterbri Ltd,Product 13,Distributor,7,6097.0,42679.0,4877.6,AZ,Maricopa County,Arizona,West,33.50921,-111.89903,3720639.645
47682,SO - 0007856,2017-02-03,Dynazzy Company,Product 29,Distributor,5,904.5,4522.5,660.285,IN,Tippecanoe County,Indiana,Midwest,40.4167,-86.87529,594471.5700000001
47683,SO - 000133,2017-02-03,SHISEIDO Ltd,Product 2,Export,12,3919.5,47034.0,2077.335,MA,Middlesex County,Massachusetts,Northeast,42.3751,-71.10561,3050087.565
47684,SO - 000220,2017-02-03,True Ltd,Product 25,Distributor,10,1266.3,12663.0,582.498,NY,Suffolk County,New York,Northeast,40.84989,-72.46349,5342315.484
47685,SO - 0002632,2017-02-03,Vimbo Company,Product 19,Wholesale,7,2257.9,15805.300000000001,1896.636,UT,Salt Lake County,Utah,West,40.69161,-112.00105,1645841.6
47686,SO - 0003911,2017-02-03,Talane Group,Product 2,Wholesale,6,1045.2,6271.200000000001,825.7080000000001,CA,San Mateo County,California,West,37.70583,-122.46194,3050087.565
47687,SO - 0010438,2017-02-03,Dynazzy Company,Product 25,Distributor,11,2257.9,24836.9,1174.1080000000002,CA,San Mateo County,California,West,37.48522,-122.23635,5342315.484
47688,SO - 0009556,2017-02-03,Nexus Group,Product 13,Distributor,10,2646.5,26465.0,1879.0149999999999,CA,Riverside County,California,West,33.93752,-117.23059,3720639.645
47689,SO - 000725,2017-02-03,Internatio Company,Product 26,Wholesale,9,2512.5,22612.5,1658.25,IL,Will County,Illinois,Midwest,41.5136,-87.84645,5685138.2700000005
47690,SO - 0001888,2017-02-03,Yombu Corp,Product 30,Distributor,11,1125.6000000000001,12381.600000000002,855.4560000000001,CA,San Mateo County,California,West,37.56299,-122.32553,1011609.684
47691,SO - 0002461,2017-02-03,ALK-Abello Ltd,Product 14,Export,12,3852.5,46230.0,1541.0,IL,Winnebago County,Illinois,Midwest,42.24868,-89.07452,4028698.4090000005
47692,SO - 0003541,2017-02-03,Skiptube Ltd,Product 3,Export,6,2505.8,15034.800000000001,1678.8860000000002,MN,Benton County/Stearns County/Sherburne County,Minnesota,Midwest,45.52662,-94.17105,2642352.432
47693,SO - 0005065,2017-02-03,Aimbo Corp,Product 15,Distributor,5,1681.7,8408.5,1294.909,CA,San Diego County,California,West,33.15809,-117.35059,3299478.315
47694,SO - 0007175,2017-02-03,Podcat Corp,Product 16,Wholesale,11,1018.4,11202.4,824.904,CA,Los Angeles County,California,West,33.76696,-118.18923,2062061.144
47695,SO - 0007456,2017-02-03,US Ltd,Product 18,Distributor,12,1896.1000000000001,22753.2,796.3620000000001,GA,Cobb County,Georgia,South,33.88399,-84.51438,2309499.045
47696,SO - 0009298,2017-02-03,SAFEWAY Ltd,Product 12,Distributor,10,3979.8,39798.0,3303.234,WA,Benton County,Washington,West,46.28569,-119.28446,1356976.996
47697,SO - 0001915,2017-02-03,Linklinks Ltd,Product 16,Wholesale,9,254.6,2291.4,129.846,CA,Alameda County,California,West,37.76521,-122.24164,2062061.144
47698,SO - 0002854,2017-02-03,Golden Corp,Product 21,Wholesale,7,2264.6,15852.199999999999,1109.654,IA,Pottawattamie County,Iowa,Midwest,41.26194,-95.86083,959899.2180000001
47699,SO - 0004772,2017-02-03,Voolia Ltd,Product 26,Wholesale,6,3973.1,23838.6,2781.1699999999996,CO,Boulder County/Weld County,Colorado,West,40.16984,-105.09901,5685138.2700000005
47700,SO - 0005084,2017-02-03,Safecor Corp,Product 5,Distributor,8,5875.900000000001,47007.200000000004,4289.407,NJ,Middlesex County,New Jersey,Northeast,40.50677,-74.26542,3925424.5420000004
47701,SO - 0006276,2017-02-03,WOONSOCKET Corp,Product 25,Wholesale,10,2525.9,25259.0,1288.209,CA,Contra Costa County,California,West,37.93187,-121.69579,5342315.484
47702,SO - 0006693,2017-02-03,Rhynoodle Ltd,Product 20,Wholesale,12,3986.5,47838.0,3229.065,WA,King County,Washington,West,47.38093,-122.23484,2067108.1199999999
47703,SO - 0009803,2017-02-03,Brightdog Corp,Product 3,Distributor,9,790.6,7115.400000000001,347.86400000000003,OR,Multnomah County,Oregon,West,45.49818,-122.43148,2642352.432
47704,SO - 0010324,2017-02-03,The Ltd,Product 14,Wholesale,6,1045.2,6271.200000000001,721.188,CA,San Bernardino County,California,West,34.1064,-117.59311,4028698.4090000005
47705,SO - 0001393,2017-02-03,Mydo Corp,Product 4,Wholesale,11,857.6,9433.6,548.864,IL,Cook County,Illinois,Midwest,41.60156,-87.73503,2885560.824
47706,SO - 0001855,2017-02-03,Buzzbean Group,Product 26,Wholesale,11,2860.9,31469.9,2031.239,AZ,Maricopa County,Arizona,West,33.41477,-111.90931,5685138.2700000005
47707,SO - 0001928,2017-02-03,Zoomzone Corp,Product 3,Wholesale,9,1855.9,16703.100000000002,1521.838,IN,Marion County,Indiana,Midwest,39.67674,-86.15616,2642352.432
47708,SO - 0002925,2017-02-03,Podcat Corp,Product 15,Distributor,9,5172.400000000001,46551.600000000006,3103.44,NC,Guilford County,North Carolina,South,36.07264,-79.79198,3299478.315
47709,SO - 0004894,2017-02-03,Brainspher Ltd,Product 1,Wholesale,9,5433.7,48903.299999999996,3803.5899999999997,IL,McHenry County,Illinois,Midwest,42.20028,-88.41561,3016489.209
47710,SO - 0005759,2017-02-03,Mydeo Ltd,Product 1,Wholesale,9,3919.5,35275.5,2978.82,MO,St. Charles County,Missouri,Midwest,38.80033,-90.62651,3016489.209
47711,SO - 0007754,2017-02-03,Twitterbri Ltd,Product 6,Distributor,9,3999.9,35999.1,2719.9320000000002,TX,Tarrant County,Texas,South,32.8343,-97.2289,1672229.416
47712,SO - 0008397,2017-02-03,Bath Group,Product 2,Wholesale,6,1943.0,11658.0,1515.54,WI,Rock County,Wisconsin,Midwest,42.68279,-89.01872,3050087.565
47713,SO - 0010265,2017-02-03,Livepath Corp,Product 3,Wholesale,9,1139.0,10251.0,592.28,CA,Kings County,California,West,36.32745,-119.64568,2642352.432
47714,SO - 0001814,2017-02-04,Nexus Group,Product 14,Wholesale,11,214.4,2358.4,135.072,TX,Webb County,Texas,South,27.50641,-99.50754,4028698.4090000005
47715,SO - 0002840,2017-02-04,Pacific Ltd,Product 18,Wholesale,9,2438.8,21949.2,1024.296,MD,Montgomery County,Maryland,South,39.07955,-77.07303,2309499.045
47716,SO - 0004158,2017-02-04,Wordware Company,Product 13,Wholesale,5,167.5,837.5,75.375,CA,San Bernardino County,California,West,34.01223,-117.68894,3720639.645
47717,SO - 0004625,2017-02-04,Camido Company,Product 4,Distributor,7,180.9,1266.3,90.45,WA,Spokane County,Washington,West,47.65878,-117.42605,2885560.824
47718,SO - 0007954,2017-02-04,Valeant Corp,Product 2,Wholesale,9,1038.5,9346.5,706.1800000000001,CA,Alameda County,California,West,37.59583,-122.01917,3050087.565
47719,SO - 0001936,2017-02-04,State Ltd,Product 4,Wholesale,8,1085.4,8683.2,857.4660000000001,WI,Milwaukee County,Wisconsin,Midwest,43.01668,-88.00703,2885560.824
47720,SO - 0002998,2017-02-04,Eidel Corp,Product 15,Wholesale,11,254.6,2800.6,117.116,TX,Hidalgo County,Texas,South,26.21591,-98.32529,3299478.315
47721,SO - 0003960,2017-02-04,Blogtags Ltd,Product 25,Export,7,201.0,1407.0,166.82999999999998,FL,Alachua County,Florida,South,29.65163,-82.32483,5342315.484
47722,SO - 0004606,2017-02-04,Devpoint Group,Product 21,Export,9,6304.7,56742.299999999996,4161.102,VA,Chesapeake city,Virginia,South,36.81904,-76.27494,959899.2180000001
47723,SO - 0007921,2017-02-04,Pacific Ltd,Product 25,Export,7,6050.1,42350.700000000004,3509.058,UT,Salt Lake County,Utah,West,40.66772,-111.93883,5342315.484
47724,SO - 0008924,2017-02-04,Dynazzy Company,Product 13,Wholesale,5,2371.8,11859.0,1565.3880000000001,TN,Montgomery County,Tennessee,South,36.52977,-87.35945,3720639.645
47725,SO - 0008328,2017-02-04,Flipstorm Group,Product 26,Export,12,2318.2000000000003,27818.4,1877.7420000000004,IA,Dubuque County,Iowa,Midwest,42.50056,-90.66457,5685138.2700000005
47726,SO - 0009113,2017-02-04,MEIJER Corp,Product 23,Wholesale,11,1172.5,12897.5,492.45,CA,Contra Costa County,California,West,37.90631,-122.06496,1135815.7580000001
47727,SO - 000739,2017-02-04,Army Group,Product 25,Distributor,12,3939.6,47275.2,3269.868,TX,Tarrant County/Ellis County/Dallas County,Texas,South,32.68695,-97.0211,5342315.484
47728,SO - 0001502,2017-02-04,Topiczoom Corp,Product 14,Wholesale,6,1721.9,10331.400000000001,947.0450000000001,WI,La Crosse County,Wisconsin,Midwest,43.80136,-91.23958,4028698.4090000005
47729,SO - 0003315,2017-02-04,Rhynoodle Ltd,Product 19,Distributor,7,2740.3,19182.100000000002,1561.971,CT,Fairfield County,Connecticut,Northeast,41.17594,-73.27205,1645841.6
47730,SO - 0004242,2017-02-04,Safecor Corp,Product 4,Wholesale,7,5333.2,37332.4,3573.244,VA,Lynchburg city,Virginia,South,37.41375,-79.14225,2885560.824
47731,SO - 0006315,2017-02-04,Skidoo Company,Product 30,Export,5,3973.1,19865.5,2066.012,SC,Dorchester County/Berkeley County/Charleston County,South Carolina,South,32.91782,-80.06503,1011609.684
47732,SO - 0006817,2017-02-04,Vimbo Company,Product 26,Wholesale,6,5460.5,32763.0,2839.46,TX,Denton County,Texas,South,33.21484,-97.13307,5685138.2700000005
47733,SO - 0009184,2017-02-04,Avavee Group,Product 15,Wholesale,6,2572.8,15436.800000000001,1312.1280000000002,MD,Charles County,Maryland,South,38.62456,-76.93914,3299478.315
47734,SO - 0009284,2017-02-04,Buzzbean Group,Product 2,Wholesale,8,1025.1000000000001,8200.800000000001,840.5820000000001,CT,Fairfield County,Connecticut,Northeast,41.39874,-73.4781,3050087.565
47735,SO - 0010167,2017-02-04,Blogtags Ltd,Product 22,Wholesale,9,1045.2,9406.800000000001,606.216,FL,Hernando County,Florida,South,28.47689,-82.52546,663601.902
47736,SO - 0009663,2017-02-04,Zooxo Ltd,Product 29,Distributor,11,991.6,10907.6,644.5400000000001,IN,Monroe County,Indiana,Midwest,39.16533,-86.52639,594471.5700000001
47737,SO - 0001478,2017-02-04,Mydo Corp,Product 11,Wholesale,7,911.2,6378.400000000001,692.5120000000001,OH,Summit County,Ohio,Midwest,41.08144,-81.51901,1230458.484
47738,SO - 0001647,2017-02-04,Oozz Group,Product 6,Export,7,5929.5,41506.5,3498.4049999999997,UT,Salt Lake County,Utah,West,40.76078,-111.89105,1672229.416
47739,SO - 0001893,2017-02-04,Holston Company,Product 27,Wholesale,5,3999.9,19999.5,1679.958,NJ,Hudson County,New Jersey,Northeast,40.79416,-74.02495,964940.2310000001
47740,SO - 0002457,2017-02-04,Divanoodle Ltd,Product 29,Distributor,5,5514.1,27570.5,4025.293,IA,Polk County,Iowa,Midwest,41.72971,-93.60577,594471.5700000001
47741,SO - 0005237,2017-02-04,Brightdog Corp,Product 3,Wholesale,7,261.3,1829.1000000000001,107.133,IL,DuPage County,Illinois,Midwest,41.94563,-88.08462,2642352.432
47742,SO - 0005535,2017-02-04,Oba Company,Product 19,Wholesale,8,1118.9,8951.2,928.687,IL,Cook County,Illinois,Midwest,41.84559,-87.75394,1645841.6
47743,SO - 0010242,2017-02-04,Gabvine Ltd,Product 23,Export,7,1011.7,7081.900000000001,819.4770000000001,MA,Middlesex County,Massachusetts,Northeast,42.37649,-71.23561,1135815.7580000001
47744,SO - 0001660,2017-02-04,Mylan Corp,Product 25,Distributor,6,1058.6000000000001,6351.6,719.8480000000002,CA,Sutter County,California,West,39.14045,-121.61691,5342315.484
47745,SO - 0002088,2017-02-04,Sanum-Kehl Group,Product 26,Wholesale,6,1299.8,7798.799999999999,1026.842,OH,Cuyahoga County,Ohio,Midwest,41.4995,-81.69541,5685138.2700000005
47746,SO - 0002331,2017-02-04,Arbor Company,Product 24,Wholesale,6,1822.4,10934.400000000001,1111.664,NJ,Mercer County,New Jersey,Northeast,40.20627,-74.67527,756557.97
47747,SO - 0002755,2017-02-04,Natures Group,Product 13,Distributor,10,904.5,9045.0,606.015,MO,Jackson County/Clay County,Missouri,Midwest,39.08547,-94.3521,3720639.645
47748,SO - 0003013,2017-02-04,Realcube Company,Product 25,Distributor,12,944.7,11336.400000000001,500.69100000000003,IL,Sangamon County,Illinois,Midwest,39.80172,-89.64371,5342315.484
47749,SO - 0003627,2017-02-04,Devpoint Group,Product 4,Export,10,214.4,2144.0,100.768,VA,Lynchburg city,Virginia,South,37.41375,-79.14225,2885560.824
47750,SO - 0007067,2017-02-04,Topco Company,Product 19,Wholesale,11,2592.9,28521.9,1192.7340000000002,OH,Montgomery County,Ohio,Midwest,39.62596,-84.1613,1645841.6
47751,SO - 000578,2017-02-04,Quaxo Ltd,Product 2,Distributor,9,1862.6000000000001,16763.4,1247.9420000000002,NV,Clark County,Nevada,West,36.02525,-115.24194,3050087.565
47752,SO - 0002195,2017-02-04,Mycone Ltd,Product 15,Wholesale,7,1675.0,11725.0,686.75,CO,Boulder County/Weld County,Colorado,West,40.16984,-105.09901,3299478.315
47753,SO - 0006544,2017-02-04,Avamba Company,Product 3,Distributor,11,5159.0,56749.0,2785.86,NY,Onondaga County,New York,Northeast,43.1787,-76.19211,2642352.432
47754,SO - 0008213,2017-02-04,Quaxo Ltd,Product 2,Wholesale,8,3825.7000000000003,30605.600000000002,3137.074,CT,Hartford County,Connecticut,Northeast,41.76657,-72.75494,3050087.565
47755,SO - 0008550,2017-02-04,Wordpedia Ltd,Product 15,Wholesale,12,1038.5,12462.0,519.25,WA,Spokane County,Washington,West,47.67323,-117.23937,3299478.315
47756,SO - 0009731,2017-02-04,Topiczoom Corp,Product 24,Export,5,1922.9,9614.5,1538.3200000000002,MT,Cascade County,Montana,West,47.50024,-111.30081,756557.97
47757,SO - 0008340,2017-02-04,Talane Group,Product 3,Wholesale,7,5038.400000000001,35268.8,2418.4320000000002,CA,Los Angeles County,California,West,33.83585,-118.34063,2642352.432
47758,SO - 0009123,2017-02-04,Skinder Group,Product 2,Distributor,6,864.3000000000001,5185.8,380.29200000000003,CA,Orange County,California,West,33.86751,-117.99812,3050087.565
47759,SO - 0001799,2017-02-05,The Ltd,Product 20,Distributor,8,1051.9,8415.2,673.2160000000001,IL,Cook County,Illinois,Midwest,42.10881,-87.83476,2067108.1199999999
47760,SO - 0004768,2017-02-05,Bath Group,Product 29,Wholesale,12,783.9,9406.8,501.69599999999997,CA,Placer County,California,West,38.75212,-121.28801,594471.5700000001
47761,SO - 0006952,2017-02-05,Chatterbri Ltd,Product 24,Export,11,1132.3,12455.3,566.15,CA,San Bernardino County,California,West,34.03363,-117.04309,756557.97
47762,SO - 0009768,2017-02-05,Eidel Corp,Product 3,Wholesale,5,2653.2000000000003,13266.000000000002,1698.0480000000002,IN,Marion County,Indiana,Midwest,39.87571,-86.26625,2642352.432
47763,SO - 0001318,2017-02-05,Zooveo Company,Product 14,Wholesale,8,1983.2,15865.6,1487.4,NY,Rockland County,New York,Northeast,41.14077,-74.10498,4028698.4090000005
47764,SO - 0001399,2017-02-05,Golden Corp,Product 2,Distributor,12,857.6,10291.2,557.44,GA,Clarke County,Georgia,South,33.95219,-83.36715,3050087.565
47765,SO - 0002837,2017-02-05,Jayo Company,Product 25,Wholesale,5,1038.5,5192.5,747.72,IL,McLean County,Illinois,Midwest,40.5142,-88.99063,5342315.484
47766,SO - 0005936,2017-02-05,Liberty Group,Product 26,Wholesale,12,1051.9,12622.800000000001,599.583,OR,Washington County,Oregon,West,45.49428,-122.86705,5685138.2700000005
47767,SO - 0008563,2017-02-05,Aimbo Corp,Product 28,Distributor,8,5601.2,44809.6,2912.624,DC,District of Columbia,District of Columbia,South,38.9041,-77.01723,1003867.767
47768,SO - 0002261,2017-02-05,Pacific Ltd,Product 26,Wholesale,9,234.5,2110.5,143.045,OK,Canadian County/Pottawatomie County/Oklahoma County/Cleveland County,Oklahoma,South,35.46708,-97.51366,5685138.2700000005
47769,SO - 0005182,2017-02-05,Lazzy Group,Product 15,Distributor,8,1212.7,9701.6,557.8420000000001,GA,Richmond County,Georgia,South,33.36149,-82.075,3299478.315
47770,SO - 0010567,2017-02-05,Jayo Company,Product 14,Export,7,241.20000000000002,1688.4,154.36800000000002,IN,Hamilton County,Indiana,Midwest,39.96548,-86.14837,4028698.4090000005
47771,SO - 0010650,2017-02-05,Buzzshare Company,Product 10,Wholesale,9,3758.7000000000003,33828.3,2706.264,CA,Los Angeles County,California,West,33.97918,-118.03284,864331.624
47772,SO - 0010180,2017-02-05,Safecor Corp,Product 22,Distributor,12,804.0,9648.0,538.6800000000001,GA,Chatham County,Georgia,South,32.08354,-81.09983,663601.902
47773,SO - 0008957,2017-02-05,Trunyx Ltd,Product 11,Wholesale,12,958.1,11497.2,440.72600000000006,NY,Suffolk County,New York,Northeast,40.84989,-72.46349,1230458.484
47774,SO - 0001586,2017-02-05,Lazzy Group,Product 14,Distributor,11,3912.8,43040.8,3091.112,CO,Adams County,Colorado,West,39.80832,-104.93387,4028698.4090000005
47775,SO - 0002979,2017-02-05,NCS Group,Product 30,Distributor,5,3892.7000000000003,19463.5,1868.496,CT,Fairfield County,Connecticut,Northeast,41.1176,-73.4079,1011609.684
47776,SO - 0004566,2017-02-05,Zoomdog Corp,Product 4,Export,10,3839.1,38391.0,2149.896,MD,Howard County,Maryland,South,39.26733,-76.79831,2885560.824
47777,SO - 0006752,2017-02-05,Valeant Corp,Product 13,Wholesale,11,3906.1,42967.1,3203.002,GA,Cobb County,Georgia,South,33.9526,-84.54993,3720639.645
47778,SO - 0007759,2017-02-05,Flipstorm Group,Product 5,Wholesale,5,207.70000000000002,1038.5,145.39000000000001,CA,Sacramento County,California,West,38.60336,-121.38005,3925424.5420000004
47779,SO - 0009523,2017-02-05,Zoonoodle Ltd,Product 30,Wholesale,7,1139.0,7973.0,455.6,FL,Broward County,Florida,South,26.25175,-80.17894,1011609.684
47780,SO - 0008813,2017-02-05,State Ltd,Product 3,Wholesale,10,1118.9,11189.0,783.23,GA,Peach County/Houston County,Georgia,South,32.5971,-83.65394,2642352.432
47781,SO - 0003500,2017-02-05,Lazzy Group,Product 15,Distributor,5,1105.5,5527.5,442.20000000000005,MO,St. Louis County,Missouri,Midwest,38.78922,-90.32261,3299478.315
47782,SO - 0006598,2017-02-05,Rochester Group,Product 17,Wholesale,11,871.0,9581.0,540.02,IN,Marion County.,Indiana,Midwest,39.778,-86.14584,2119616.824
47783,SO - 0007965,2017-02-05,Skyble Corp,Product 20,Wholesale,8,5849.1,46792.8,4328.334,IA,Black Hawk County,Iowa,Midwest,42.49276,-92.34296,2067108.1199999999
47784,SO - 0009904,2017-02-05,Pfizer Corp,Product 25,Distributor,8,3175.8,25406.4,2540.6400000000003,CA,Contra Costa County,California,West,38.00492,-121.80579,5342315.484
47785,SO - 0009667,2017-02-05,Organon Corp,Product 5,Distributor,11,6378.400000000001,70162.40000000001,4783.8,AZ,Maricopa County/Yavapai County,Arizona,West,33.7862,-112.30801,3925424.5420000004
47786,SO - 000131,2017-02-05,Mydo Corp,Product 17,Distributor,7,6076.900000000001,42538.3,2734.6050000000005,FL,Brevard County,Florida,South,28.03446,-80.58866,2119616.824
47787,SO - 0001004,2017-02-05,Lazzy Group,Product 7,Wholesale,8,1701.8,13614.4,1021.0799999999999,CA,Orange County,California,West,33.66946,-117.82311,889737.555
47788,SO - 0001386,2017-02-05,Sanum-Kehl Group,Product 6,Distributor,10,1045.2,10452.0,637.572,IL,Cook County,Illinois,Midwest,41.88503,-87.7845,1672229.416
47789,SO - 0002342,2017-02-05,Holston Company,Product 26,Distributor,11,3685.0,40535.0,1731.9499999999998,FL,Brevard County,Florida,South,28.08363,-80.60811,5685138.2700000005
47790,SO - 0004229,2017-02-05,Alembic Ltd,Product 3,Wholesale,6,1916.2,11497.2,1207.2060000000001,FL,Palm Beach County,Florida,South,26.52535,-80.06643,2642352.432
47791,SO - 0006294,2017-02-05,Browsetype Corp,Product 26,Wholesale,6,1943.0,11658.0,1165.8,CA,Alameda County,California,West,37.87159,-122.27275,5685138.2700000005
47792,SO - 0007625,2017-02-05,Kazu Corp,Product 8,Export,8,1822.4,14579.2,1221.008,IL,Cook County,Illinois,Midwest,42.02803,-88.20364,1085037.3290000001
47793,SO - 0007878,2017-02-05,Bluezoom Group,Product 13,Export,12,5353.3,64239.600000000006,3211.98,CO,Denver County,Colorado,West,39.73915,-104.9847,3720639.645
47794,SO - 0002175,2017-02-06,H Ltd,Product 14,Wholesale,7,3879.3,27155.100000000002,2987.061,CA,San Joaquin County,California,West,37.9577,-121.29078,4028698.4090000005
47795,SO - 0002391,2017-02-06,Topco Company,Product 25,Export,11,1118.9,12307.900000000001,671.34,KY,Warren County,Kentucky,South,36.99032,-86.4436,5342315.484
47796,SO - 0005058,2017-02-06,Walgreen Corp,Product 5,Wholesale,8,1031.8,8254.4,825.44,MA,Essex County,Massachusetts,Northeast,42.7762,-71.07728,3925424.5420000004
47797,SO - 0005625,2017-02-06,Blogtags Ltd,Product 4,Distributor,10,1005.0,10050.0,532.65,IL,McLean County,Illinois,Midwest,40.4842,-88.99369,2885560.824
47798,SO - 0008123,2017-02-06,Vinte Group,Product 3,Wholesale,12,1051.9,12622.800000000001,525.95,FL,Miami-Dade County,Florida,South,25.70816,-80.407,2642352.432
47799,SO - 0001976,2017-02-06,Omba Group,Product 1,Wholesale,11,1922.9,21151.9,1365.259,NC,Mecklenburg County,North Carolina,South,35.22709,-80.84313,3016489.209
47800,SO - 0003120,2017-02-06,Eidel Corp,Product 14,Distributor,9,1165.8,10492.199999999999,722.7959999999999,CA,Butte County,California,West,39.72849,-121.83748,4028698.4090000005
47801,SO - 0005891,2017-02-06,Kaymbo Company,Product 4,Wholesale,7,1969.8,13788.6,1654.6319999999998,IL,Cook County,Illinois,Midwest,42.02803,-88.20364,2885560.824
47802,SO - 0006424,2017-02-06,Vitz Company,Product 22,Distributor,10,1232.8,12328.0,862.9599999999999,PA,Lehigh County,Pennsylvania,Northeast,40.60843,-75.49018,663601.902
47803,SO - 0008604,2017-02-06,Cogidoo Company,Product 25,Export,7,234.5,1641.5,192.29,MI,Genesee County,Michigan,Midwest,43.01253,-83.68746,5342315.484
47804,SO - 0002121,2017-02-06,The Ltd,Product 13,Wholesale,10,2827.4,28274.0,2403.29,CA,Los Angeles County,California,West,34.18084,-118.30897,3720639.645
